main_i,main_j,a_ij,b_ij,c_ij
18,6,-230.381,-0.3825,0.00233
18,7,-393.18,0.5546,-0.002
18,8,-41.594,-3.5887,0.004
18,9,307.16,-0.8161,0.0
18,11,45.3095,-1.4281,0.0
18,12,-123.7294,0.0,0.0
18,13,-430.49,-0.728,0.00399
18,17,-558.39,1.2436,-0.0007
18,19,746.1208,-2.1937,0.0
18,20,-451.49,-0.4031,0.0
18,21,-67.106,-0.4933,0.0
18,22,-978.246,2.1884,0.0
18,24,229.6591,-1.5005,0.0
18,33,-713.65,1.9191,0.0
18,38,197.9454,-0.3316,-0.0004
18,42,130.61,-1.0823,0.0
18,43,-250.2521,0.3811,0.0
18,45,-516.3073,1.6943,0.0
18,47,489.935,-0.5591,-0.00102
18,52,-674.0007,1.8854,0.0
19,1,293.81,-1.3979,0.0
19,2,-181.93,0.0,0.0
19,3,111.8,-0.5959,0.0
19,4,170.1,-0.8218,0.0
19,5,-46.0,4.415,-0.00878
19,6,615.01,-0.9444,0.0
19,7,509.6,-1.916,0.0
19,9,79.08,-0.3808,0.0
19,11,139.55,-0.4367,0.0
19,12,-33.64,0.0,0.0
19,13,-588.8,1.481,-0.00264
19,14,2412.2,-10.495,0.00974
19,15,-131.9,0.0,0.0
19,17,2987.0,-9.336,0.00715
19,18,-2307.7947,5.8186,0.0
19,21,176.5,-1.237,0.0
19,22,-78.96,0.0,0.0
19,24,65.82,-0.6265,0.0
19,25,1283.0,3.361,-0.0299
19,26,117.53,-0.4469,0.0
19,28,468.8,0.0,0.0
19,29,-18.8,-0.3652,0.0
19,31,506.6,-1.263,0.0
19,33,-211.2,0.0,0.0
19,34,11.65,-1.229,0.0
19,36,267.1,0.0,0.0
19,37,61.96,-0.4161,0.0
19,39,57.0813,-0.7417,0.0
19,41,-75.67,0.0,0.0
19,42,256.2,-1.526,0.00112
19,43,-28.653,-0.4815,0.0
19,45,237.42,-1.2928,0.0
20,1,2017.7,-9.0933,0.0102
20,2,-347.5,1.216,0.0
20,3,613.32,-1.595,0.0
